zone_id,week_start_date,weekly_total_rainfall_mm,weekly_max_rainfall_mm,weekly_max_temp_celsius,weekly_avg_temp_celsius,weekly_max_wind_kmph,weekly_avg_aqi,curfew_days_count,strike_days_count,zone_closure_days_count,has_festival,is_monsoon
ZONE_BLR_01,2026-06-22,16.3,5.3,30.1,29.475,20.2,135.25,0,0,0,1,1
ZONE_BLR_01,2026-06-29,20.1,8.4,29.2,27.985714285714288,29.9,153.85714285714286,1,0,1,0,1
ZONE_BLR_01,2026-07-06,8.399999999999999,3.3,31.8,29.771428571428572,29.7,172.71428571428572,0,0,0,0,1
ZONE_BLR_01,2026-07-13,16.8,9.8,32.1,29.785714285714285,20.5,124.57142857142857,0,0,0,0,1
ZONE_BLR_01,2026-07-20,33.4,8.9,29.5,28.414285714285715,21.1,162.85714285714286,1,0,1,0,1
ZONE_BLR_01,2026-07-27,28.8,17.0,29.7,28.685714285714287,25.0,169.42857142857142,0,0,0,0,1
ZONE_BLR_01,2026-08-03,76.3,18.5,28.3,27.285714285714285,21.1,143.0,0,0,0,0,1
ZONE_BLR_01,2026-08-10,19.9,5.6,30.7,29.17142857142857,21.8,129.0,0,0,0,1,1
ZONE_BLR_01,2026-08-17,31.4,9.8,29.9,28.400000000000002,22.2,146.57142857142858,1,0,1,0,1
ZONE_BLR_01,2026-08-24,35.7,18.2,28.8,28.014285714285712,22.3,167.14285714285714,0,0,0,1,1
ZONE_BLR_01,2026-08-31,13.200000000000001,3.6,30.8,29.542857142857144,19.3,142.71428571428572,1,0,1,1,1
ZONE_BLR_01,2026-09-07,8.5,5.1,31.0,30.62857142857143,14.9,128.28571428571428,0,0,0,0,1
ZONE_BLR_01,2026-09-14,33.1,9.6,30.8,30.425,13.6,137.5,0,0,0,0,1
ZONE_BOM_01,2026-06-22,24.8,11.5,31.1,30.425,15.3,184.0,0,0,0,1,1
ZONE_BOM_01,2026-06-29,493.0,136.9,28.6,27.642857142857142,30.3,147.0,0,0,6,0,1
ZONE_BOM_01,2026-07-06,235.5,131.8,30.2,29.142857142857142,34.6,143.85714285714286,0,0,2,0,1
ZONE_BOM_01,2026-07-13,92.5,33.1,30.6,29.82857142857143,21.8,156.42857142857142,1,0,1,0,1
